epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,474.215,1.32077,2.93827,1.30653,0.34105,0.13807,0.10329,0.06739,1.27369,1.82173,1.12346,0.00332843,0.00332843,0.00332843
2,821.995,1.28965,2.30956,1.27378,0.26731,0.13655,0.09813,0.06006,1.42831,1.99964,1.26719,0.00659581,0.00659581,0.00659581
3,1167.26,1.41569,2.43776,1.35245,0.3535,0.1151,0.06764,0.03907,1.59804,2.3943,1.33883,0.0097972,0.0097972,0.0097972
4,1512.6,1.5343,2.5861,1.42696,0.40057,0.14108,0.09013,0.05438,1.53864,2.11663,1.3286,0.009703,0.009703,0.009703
5,1857.44,1.48339,2.46975,1.40442,0.43745,0.1243,0.10083,0.06021,1.4914,1.97824,1.29265,0.009604,0.009604,0.009604
6,2202.79,1.43275,2.31739,1.37211,0.34043,0.13878,0.10409,0.06491,1.41368,1.87787,1.24363,0.009505,0.009505,0.009505
7,2548.41,1.39875,2.23046,1.35214,0.28475,0.17686,0.1256,0.08009,1.34928,1.70434,1.20719,0.009406,0.009406,0.009406
8,2894.65,1.36955,2.14415,1.33287,0.29646,0.20469,0.14457,0.09413,1.32262,1.64322,1.19589,0.009307,0.009307,0.009307
9,3241.99,1.33921,2.07666,1.32302,0.22461,0.24109,0.15513,0.10347,1.30446,1.54214,1.1919,0.009208,0.009208,0.009208
10,3594.81,1.31101,2.03556,1.30602,0.33905,0.20444,0.14675,0.09745,1.27974,1.5161,1.15507,0.009109,0.009109,0.009109
11,3940.78,1.30335,1.96881,1.29805,0.17443,0.27864,0.16518,0.11244,1.26513,1.45452,1.15214,0.00901,0.00901,0.00901
12,4287.58,1.27822,1.92329,1.28315,0.21613,0.25399,0.16593,0.11695,1.25403,1.45728,1.1477,0.008911,0.008911,0.008911
13,4633.03,1.2765,1.90078,1.27609,0.1938,0.28255,0.18211,0.12345,1.24661,1.42554,1.13826,0.008812,0.008812,0.008812
14,4978.35,1.25138,1.85597,1.26869,0.21993,0.2653,0.18749,0.13299,1.20155,1.40817,1.11925,0.008713,0.008713,0.008713
15,5323.88,1.25546,1.81408,1.26439,0.26074,0.28791,0.2064,0.14228,1.23406,1.3464,1.136,0.008614,0.008614,0.008614
16,5668.97,1.23744,1.80798,1.25692,0.25933,0.33598,0.22628,0.15918,1.19988,1.31776,1.12281,0.008515,0.008515,0.008515
17,6013.94,1.21758,1.76272,1.24725,0.21445,0.31734,0.22552,0.1595,1.20147,1.34014,1.12019,0.008416,0.008416,0.008416
18,6358.68,1.21166,1.7421,1.24621,0.22763,0.3471,0.2336,0.16875,1.1916,1.27719,1.10542,0.008317,0.008317,0.008317
19,6703.89,1.20428,1.70155,1.23746,0.29067,0.33834,0.24865,0.18154,1.16875,1.27953,1.09397,0.008218,0.008218,0.008218
20,7051.53,1.1924,1.69051,1.23376,0.26463,0.33801,0.27885,0.20623,1.1789,1.26432,1.10587,0.008119,0.008119,0.008119
21,7398.27,1.18417,1.64885,1.2302,0.27945,0.37649,0.27897,0.20645,1.14743,1.22063,1.09078,0.00802,0.00802,0.00802
22,7745.68,1.17291,1.64361,1.22668,0.41814,0.32446,0.28353,0.20681,1.14532,1.22145,1.08933,0.007921,0.007921,0.007921
23,8090.65,1.16711,1.62947,1.21831,0.2559,0.3397,0.2969,0.21908,1.15636,1.21822,1.09477,0.007822,0.007822,0.007822
24,8436.37,1.16281,1.57876,1.21337,0.34267,0.37366,0.31557,0.23883,1.13314,1.16898,1.08531,0.007723,0.007723,0.007723
25,8781.41,1.15094,1.5828,1.21602,0.36225,0.38418,0.31823,0.2388,1.14877,1.15906,1.08921,0.007624,0.007624,0.007624
26,9126.42,1.14545,1.54992,1.20508,0.32889,0.41042,0.33759,0.25617,1.14191,1.15414,1.08742,0.007525,0.007525,0.007525
27,9471.27,1.13255,1.53906,1.21167,0.33193,0.40089,0.34721,0.27131,1.11856,1.13472,1.07954,0.007426,0.007426,0.007426
28,9817.46,1.13025,1.51833,1.20354,0.38316,0.39493,0.36708,0.27835,1.10526,1.11187,1.07672,0.007327,0.007327,0.007327
29,10163.6,1.13327,1.51099,1.2022,0.3639,0.43469,0.37289,0.28613,1.11658,1.09498,1.07495,0.007228,0.007228,0.007228
30,10510.3,1.11859,1.49567,1.19615,0.41623,0.37947,0.38597,0.29727,1.10651,1.09509,1.07478,0.007129,0.007129,0.007129
31,10855.7,1.10955,1.46185,1.1906,0.375,0.43583,0.38985,0.30538,1.09914,1.07725,1.0588,0.00703,0.00703,0.00703
32,11201.1,1.11189,1.45411,1.18739,0.44638,0.3967,0.42127,0.32851,1.09706,1.05415,1.06591,0.006931,0.006931,0.006931
33,11545.9,1.10082,1.43827,1.18407,0.39202,0.45206,0.41108,0.31745,1.10188,1.05313,1.06537,0.006832,0.006832,0.006832
34,11890.6,1.10387,1.42098,1.1843,0.4266,0.46242,0.42326,0.32839,1.10007,1.03622,1.06253,0.006733,0.006733,0.006733
35,12235.4,1.09733,1.42075,1.17927,0.43245,0.43594,0.43506,0.34363,1.08446,1.02833,1.05631,0.006634,0.006634,0.006634
36,12580.3,1.07878,1.37543,1.17437,0.43188,0.43326,0.42871,0.33581,1.08112,1.01647,1.06049,0.006535,0.006535,0.006535
37,12924.9,1.07812,1.34698,1.16861,0.45767,0.43061,0.43728,0.34455,1.08693,0.99709,1.05296,0.006436,0.006436,0.006436
38,13269.9,1.07016,1.3719,1.16682,0.45728,0.45026,0.441,0.34765,1.06985,0.99565,1.049,0.006337,0.006337,0.006337
39,13614.9,1.08065,1.35279,1.16545,0.44573,0.47577,0.4638,0.36844,1.07404,0.98175,1.05201,0.006238,0.006238,0.006238
40,13960,1.0651,1.3234,1.15979,0.44344,0.47255,0.46505,0.37018,1.07451,0.98176,1.05215,0.006139,0.006139,0.006139
41,14304.8,1.05724,1.30723,1.1542,0.51248,0.45252,0.47286,0.37797,1.06805,0.96747,1.04548,0.00604,0.00604,0.00604
42,14650,1.05443,1.29936,1.15522,0.4581,0.46138,0.47359,0.38102,1.06768,0.9684,1.04297,0.005941,0.005941,0.005941
43,14995.1,1.0533,1.28045,1.15272,0.50303,0.48213,0.49209,0.39753,1.05829,0.93884,1.04095,0.005842,0.005842,0.005842
44,15340,1.04027,1.26477,1.14811,0.46383,0.50384,0.49609,0.40054,1.05556,0.93363,1.0397,0.005743,0.005743,0.005743
45,15684.9,1.03781,1.25254,1.14686,0.52534,0.47638,0.51051,0.41124,1.05763,0.92882,1.04215,0.005644,0.005644,0.005644
46,16030.8,1.03118,1.24057,1.14926,0.54426,0.48031,0.52117,0.42218,1.04767,0.91681,1.04203,0.005545,0.005545,0.005545
47,16376.9,1.03132,1.22305,1.14358,0.5411,0.50005,0.53487,0.43432,1.05572,0.90797,1.04448,0.005446,0.005446,0.005446
48,16723.1,1.03062,1.20759,1.14065,0.58182,0.48471,0.5353,0.43314,1.05494,0.90437,1.04135,0.005347,0.005347,0.005347
49,17068.1,1.03087,1.19783,1.1372,0.5515,0.5183,0.54614,0.44345,1.05129,0.89106,1.0357,0.005248,0.005248,0.005248
50,17413.2,1.01557,1.19257,1.13347,0.55966,0.5146,0.54826,0.44934,1.05459,0.89156,1.03701,0.005149,0.005149,0.005149
51,17757.8,1.01293,1.17108,1.13636,0.51956,0.5395,0.54812,0.44618,1.05154,0.88592,1.03762,0.00505,0.00505,0.00505
52,18102.7,1.00535,1.15321,1.13386,0.57679,0.51432,0.55547,0.45324,1.04365,0.875,1.04073,0.004951,0.004951,0.004951
53,18448.1,1.00411,1.13853,1.12746,0.57868,0.52671,0.56513,0.4606,1.03933,0.86918,1.03594,0.004852,0.004852,0.004852
54,18793.1,1.0101,1.12537,1.12966,0.56754,0.53049,0.5605,0.45824,1.04222,0.87149,1.03306,0.004753,0.004753,0.004753
55,19137.9,0.99852,1.12608,1.12353,0.5872,0.52053,0.56224,0.46285,1.04222,0.87064,1.03203,0.004654,0.004654,0.004654
56,19482.6,0.98542,1.10151,1.12141,0.57716,0.54168,0.56822,0.47096,1.04096,0.86099,1.0322,0.004555,0.004555,0.004555
