epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,358.257,1.78388,1.89221,1.12904,0.73172,0.68548,0.76106,0.38615,1.65866,1.14197,1.07459,0.0033284,0.0033284,0.0033284
2,707.886,1.62919,1.07837,1.08262,0.75575,0.71251,0.77833,0.38616,1.69385,1.09273,1.06256,0.00659578,0.00659578,0.00659578
3,1052.05,1.63275,1.08573,1.08217,0.71553,0.78463,0.78547,0.4143,1.57852,1.03637,1.03657,0.00979716,0.00979716,0.00979716
4,1366.3,1.66277,1.1347,1.09861,0.76783,0.76435,0.8339,0.42574,1.61711,1.01299,1.0504,0.009703,0.009703,0.009703
5,1665.14,1.62461,1.07521,1.08406,0.79147,0.78198,0.82767,0.42392,1.60292,1.00757,1.05148,0.009604,0.009604,0.009604
6,1960.2,1.61177,1.05469,1.0725,0.84339,0.7991,0.86027,0.46968,1.57417,0.93544,1.03809,0.009505,0.009505,0.009505
7,2293.83,1.57233,1.01565,1.06289,0.82864,0.84886,0.87079,0.45308,1.57494,0.94925,1.03178,0.009406,0.009406,0.009406
8,2637.1,1.55523,1.00922,1.05307,0.85778,0.82515,0.89659,0.49962,1.50508,0.87888,1.01793,0.009307,0.009307,0.009307
9,2931.36,1.54677,0.98696,1.05217,0.85709,0.85041,0.87535,0.4667,1.56706,0.9159,1.03207,0.009208,0.009208,0.009208
10,3225.12,1.52235,0.969,1.04646,0.88327,0.87767,0.91527,0.5227,1.47259,0.85923,0.99609,0.009109,0.009109,0.009109
11,3519.06,1.51658,0.95835,1.03804,0.88423,0.87374,0.91356,0.51397,1.48258,0.87678,0.99878,0.00901,0.00901,0.00901
12,3813.9,1.48428,0.93765,1.03661,0.89364,0.85472,0.92652,0.53636,1.44035,0.83458,0.99136,0.008911,0.008911,0.008911
13,4108.65,1.48031,0.92092,1.02681,0.89144,0.87079,0.90743,0.50932,1.44891,0.84192,0.99309,0.008812,0.008812,0.008812
14,4402.94,1.45243,0.9125,1.02217,0.88777,0.88554,0.91312,0.54187,1.42821,0.82254,0.98506,0.008713,0.008713,0.008713
15,4697.47,1.45536,0.89598,1.02165,0.87787,0.88287,0.91715,0.52844,1.44506,0.82088,0.98892,0.008614,0.008614,0.008614
16,4992.23,1.42993,0.88496,1.01707,0.89043,0.90441,0.92339,0.54403,1.42857,0.81052,0.98445,0.008515,0.008515,0.008515
17,5286.56,1.43883,0.88459,1.01937,0.90025,0.91165,0.93074,0.56061,1.40144,0.76829,0.97809,0.008416,0.008416,0.008416
18,5580.36,1.42722,0.87367,1.0163,0.89993,0.89321,0.93206,0.56084,1.40113,0.79275,0.97707,0.008317,0.008317,0.008317
19,5874.78,1.41756,0.86094,1.01358,0.90472,0.90812,0.9247,0.56451,1.36893,0.77478,0.96257,0.008218,0.008218,0.008218
20,6169.99,1.40069,0.85294,1.00568,0.91297,0.89887,0.94577,0.56245,1.38074,0.75943,0.96487,0.008119,0.008119,0.008119
21,6464.98,1.40262,0.84933,1.00651,0.91042,0.90441,0.94088,0.57825,1.35516,0.75036,0.95699,0.00802,0.00802,0.00802
